sample_idx,i,q
0,-31,-14
1,-26,-7
2,-21,0
3,-16,7
4,-11,14
5,-6,-8
6,-1,-1
7,4,6
8,9,13
9,14,-9
10,19,-2
11,24,5
12,29,12
13,-29,-10
14,-24,-3
15,-19,4
16,-14,11
17,-9,-11
18,-4,-4
19,1,3
20,6,10
21,11,-12
22,16,-5
23,21,2
24,26,9
25,31,-13
26,-27,-6
27,-22,1
28,-17,8
29,-12,-14
30,-7,-7
31,-2,0
32,3,7
33,8,14
34,13,-8
35,18,-1
36,23,6
37,28,13
38,-30,-9
39,-25,-2
40,-20,5
41,-15,12
42,-10,-10
43,-5,-3
44,0,4
45,5,11
46,10,-11
47,15,-4
48,20,3
49,25,10
50,30,-12
51,-28,-5
52,-23,2
53,-18,9
54,-13,-13
55,-8,-6
56,-3,1
57,2,8
58,7,-14
59,12,-7
60,17,0
61,22,7
62,27,14
63,-31,-8
64,-26,-1
65,-21,6
66,-16,13
67,-11,-9
68,-6,-2
69,-1,5
70,4,12
71,9,-10
72,14,-3
73,19,4
74,24,11
75,29,-11
76,-29,-4
77,-24,3
78,-19,10
79,-14,-12
80,-9,-5
81,-4,2
82,1,9
83,6,-13
84,11,-6
85,16,1
86,21,8
87,26,-14
88,31,-7
89,-27,0
90,-22,7
91,-17,14
92,-12,-8
93,-7,-1
94,-2,6
95,3,13
96,8,-9
97,13,-2
98,18,5
99,23,12
100,28,-10
101,-30,-3
102,-25,4
103,-20,11
104,-15,-11
105,-10,-4
106,-5,3
107,0,10
108,5,-12
109,10,-5
110,15,2
111,20,9
112,25,-13
113,30,-6
114,-28,1
115,-23,8
116,-18,-14
117,-13,-7
118,-8,0
119,-3,7
120,2,14
121,7,-8
122,12,-1
123,17,6
124,22,13
125,27,-9
126,-31,-2
127,-26,5
128,-21,12
129,-16,-10
130,-11,-3
131,-6,4
132,-1,11
133,4,-11
134,9,-4
135,14,3
136,19,10
137,24,-12
138,29,-5
139,-29,2
140,-24,9
141,-19,-13
142,-14,-6
143,-9,1
144,-4,8
145,1,-14
146,6,-7
147,11,0
148,16,7
149,21,14
150,26,-8
151,31,-1
152,-27,6
153,-22,13
154,-17,-9
155,-12,-2
156,-7,5
157,-2,12
158,3,-10
159,8,-3
160,13,4
161,18,11
162,23,-11
163,28,-4
164,-30,3
165,-25,10
166,-20,-12
167,-15,-5
168,-10,2
169,-5,9
170,0,-13
171,5,-6
172,10,1
173,15,8
174,20,-14
175,25,-7
176,30,0
177,-28,7
178,-23,14
179,-18,-8
180,-13,-1
181,-8,6
182,-3,13
183,2,-9
184,7,-2
185,12,5
186,17,12
187,22,-10
188,27,-3
189,-31,4
190,-26,11
191,-21,-11
192,-16,-4
193,-11,3
194,-6,10
195,-1,-12
196,4,-5
197,9,2
198,14,9
199,19,-13
200,24,-6
201,29,1
202,-29,8
203,-24,-14
204,-19,-7
205,-14,0
206,-9,7
207,-4,14
208,1,-8
209,6,-1
210,11,6
211,16,13
212,21,-9
213,26,-2
214,31,5
215,-27,12
216,-22,-10
217,-17,-3
218,-12,4
219,-7,11
220,-2,-11
221,3,-4
222,8,3
223,13,10
224,18,-12
225,23,-5
226,28,2
227,-30,9
228,-25,-13
229,-20,-6
230,-15,1
231,-10,8
232,-5,-14
233,0,-7
234,5,0
235,10,7
236,15,14
237,20,-8
238,25,-1
239,30,6
240,-28,13
241,-23,-9
242,-18,-2
243,-13,5
244,-8,12
245,-3,-10
246,2,-3
247,7,4
248,12,11
249,17,-11
250,22,-4
251,27,3
252,-31,10
253,-26,-12
254,-21,-5
255,-16,2
256,-11,9
257,-6,-13
258,-1,-6
259,4,1
260,9,8
261,14,-14
262,19,-7
263,24,0
264,29,7
265,-29,14
266,-24,-8
267,-19,-1
268,-14,6
269,-9,13
270,-4,-9
271,1,-2
272,6,5
273,11,12
274,16,-10
275,21,-3
276,26,4
277,31,11
278,-27,-11
279,-22,-4
280,-17,3
281,-12,10
282,-7,-12
283,-2,-5
284,3,2
285,8,9
286,13,-13
287,18,-6
288,23,1
289,28,8
290,-30,-14
291,-25,-7
292,-20,0
293,-15,7
294,-10,14
295,-5,-8
296,0,-1
297,5,6
298,10,13
299,15,-9
300,20,-2
301,25,5
302,30,12
303,-28,-10
304,-23,-3
305,-18,4
306,-13,11
307,-8,-11
308,-3,-4
309,2,3
310,7,10
311,12,-12
312,17,-5
313,22,2
314,27,9
315,-31,-13
316,-26,-6
317,-21,1
318,-16,8
319,-11,-14
320,-6,-7
321,-1,0
322,4,7
323,9,14
324,14,-8
325,19,-1
326,24,6
327,29,13
328,-29,-9
329,-24,-2
330,-19,5
331,-14,12
332,-9,-10
333,-4,-3
334,1,4
335,6,11
336,11,-11
337,16,-4
338,21,3
339,26,10
340,31,-12
341,-27,-5
342,-22,2
343,-17,9
344,-12,-13
345,-7,-6
346,-2,1
347,3,8
348,8,-14
349,13,-7
350,18,0
351,23,7
352,28,14
353,-30,-8
354,-25,-1
355,-20,6
356,-15,13
357,-10,-9
358,-5,-2
359,0,5
360,5,12
361,10,-10
362,15,-3
363,20,4
364,25,11
365,30,-11
366,-28,-4
367,-23,3
368,-18,10
369,-13,-12
370,-8,-5
371,-3,2
372,2,9
373,7,-13
374,12,-6
375,17,1
376,22,8
377,27,-14
378,-31,-7
379,-26,0
380,-21,7
381,-16,14
382,-11,-8
383,-6,-1
384,-1,6
385,4,13
386,9,-9
387,14,-2
388,19,5
389,24,12
390,29,-10
391,-29,-3
392,-24,4
393,-19,11
394,-14,-11
395,-9,-4
396,-4,3
397,1,10
398,6,-12
399,11,-5
400,16,2
401,21,9
402,26,-13
403,31,-6
404,-27,1
405,-22,8
406,-17,-14
407,-12,-7
408,-7,0
409,-2,7
410,3,14
411,8,-8
412,13,-1
413,18,6
414,23,13
415,28,-9
416,-30,-2
417,-25,5
418,-20,12
419,-15,-10
420,-10,-3
421,-5,4
422,0,11
423,5,-11
424,10,-4
425,15,3
426,20,10
427,25,-12
428,30,-5
429,-28,2
430,-23,9
431,-18,-13
432,-13,-6
433,-8,1
434,-3,8
435,2,-14
436,7,-7
437,12,0
438,17,7
439,22,14
440,27,-8
441,-31,-1
442,-26,6
443,-21,13
444,-16,-9
445,-11,-2
446,-6,5
447,-1,12
448,4,-10
449,9,-3
450,14,4
451,19,11
452,24,-11
453,29,-4
454,-29,3
455,-24,10
456,-19,-12
457,-14,-5
458,-9,2
459,-4,9
460,1,-13
461,6,-6
462,11,1
463,16,8
464,21,-14
465,26,-7
466,31,0
467,-27,7
468,-22,14
469,-17,-8
470,-12,-1
471,-7,6
472,-2,13
473,3,-9
474,8,-2
475,13,5
476,18,12
477,23,-10
478,28,-3
479,-30,4
480,-25,11
481,-20,-11
482,-15,-4
483,-10,3
484,-5,10
485,0,-12
486,5,-5
487,10,2
488,15,9
489,20,-13
490,25,-6
491,30,1
492,-28,8
493,-23,-14
494,-18,-7
495,-13,0
496,-8,7
497,-3,14
498,2,-8
499,7,-1
500,12,6
501,17,13
502,22,-9
503,27,-2
504,-31,5
505,-26,12
506,-21,-10
507,-16,-3
508,-11,4
509,-6,11
510,-1,-11
511,4,-4
512,9,3
513,14,10
514,19,-12
515,24,-5
516,29,2
517,-29,9
518,-24,-13
519,-19,-6
520,-14,1
521,-9,8
522,-4,-14
523,1,-7
524,6,0
525,11,7
526,16,14
527,21,-8
528,26,-1
529,31,6
530,-27,13
531,-22,-9
532,-17,-2
533,-12,5
534,-7,12
535,-2,-10
536,3,-3
537,8,4
538,13,11
